t                 field             
    6.41641642E+01    9.44194912E-01
    6.42642643E+01    9.80971489E-01
    6.43643644E+01    9.98534972E-01
    6.44644645E+01    9.96183762E-01
    6.45645646E+01    9.74011782E-01
    6.46646647E+01    9.32904722E-01
    6.47647648E+01    8.74504665E-01
    6.48648649E+01    8.01144482E-01
    6.49649650E+01    7.15754652E-01
    6.50650651E+01    6.21746194E-01
    6.51651652E+01    5.22874410E-01
    6.52652653E+01    4.23088875E-01
    6.53653654E+01    3.26375665E-01
    6.54654655E+01    2.36598127E-01
    6.55655656E+01    1.57342554E-01
    6.56656657E+01    9.17749234E-02
    6.57657658E+01    4.25144273E-02
    6.58658659E+01    1.15288470E-02
    6.59659660E+01    5.59457576E-05
    6.60660661E+01    8.55402517E-03
    6.61661662E+01    3.66836172E-02
    6.62662663E+01    8.33210452E-02
    6.63663664E+01    1.46603310E-01
    6.64664665E+01    2.24002512E-01
    6.65665666E+01    3.12426828E-01
    6.66666667E+01    4.08344022E-01
    6.67667668E+01    5.07922546E-01
    6.68668669E+01    6.07184593E-01
    6.69669670E+01    7.02164998E-01
    6.70670671E+01    7.89069632E-01
    6.71671672E+01    8.64426966E-01
    6.72672673E+01    9.25226744E-01
    6.73673674E+01    9.69040231E-01
    6.74674675E+01    9.94117235E-01
    6.75675676E+01    9.99456019E-01
    6.76676677E+01    9.84843318E-01
    6.77677678E+01    9.50862856E-01
    6.78678679E+01    8.98872033E-01
    6.79679680E+01    8.30947695E-01
    6.80680681E+01    7.49803178E-01
    6.81681682E+01    6.58679916E-01
    6.82682683E+01    5.61217958E-01
    6.83683684E+01    4.61310560E-01
    6.84684685E+01    3.62948668E-01
    6.85685686E+01    2.70061487E-01
    6.86686687E+01    1.86359529E-01
    6.87687688E+01    1.15186389E-01
    6.88688689E+01    5.93851787E-02
    6.89689690E+01    2.11849581E-02
    6.90690691E+01    2.11168937E-03
    6.91691692E+01    2.92728165E-03
    6.92692693E+01    2.35991549E-02
    6.93693694E+01    6.33015416E-02
    6.94694695E+01    1.20448473E-01
    6.95695696E+01    1.92757133E-01
    6.96696697E+01    2.77339050E-01
    6.97697698E+01    3.70815476E-01
    6.98698699E+01    4.69452363E-01
    6.99699700E+01    5.69309520E-01
    7.00700701E+01    6.66398008E-01
    7.01701702E+01    7.56839490E-01
    7.02702703E+01    8.37021150E-01
    7.03703704E+01    9.03740019E-01
    7.04704705E+01    9.54330915E-01
    7.05705706E+01    9.86772913E-01
    7.06706707E+01    9.99770070E-01
    7.07707708E+01    9.92803196E-01
    7.08708709E+01    9.66150594E-01
    7.09709710E+01    9.20876939E-01
    7.10710711E+01    8.58790752E-01
    7.11711712E+01    7.82372156E-01
    7.12712713E+01    6.94673800E-01
    7.13713714E+01    5.99198920E-01
    7.14714715E+01    4.99761398E-01
    7.15715716E+01    4.00333407E-01
    7.16716717E+01    3.04886740E-01
    7.17717718E+01    2.17234152E-01
    7.18718719E+01    1.40877050E-01
    7.19719720E+01    7.88656285E-02
    7.20720721E+01    3.36770219E-02
    7.21721722E+01    7.11635390E-03
    7.22722723E+01    2.44628429E-04
    7.23723724E+01    1.33363464E-02
    7.24724725E+01    4.58685403E-02
    7.25725726E+01    9.65416652E-02
    7.26726727E+01    1.63331511E-01
    7.27727728E+01    2.43570060E-01
    7.28728729E+01    3.34052071E-01
    7.29729730E+01    4.31163110E-01
    7.30730731E+01    5.31023936E-01
    7.31731732E+01    6.29645467E-01
